name,servers
Cloudflare,"1.1.1.1,1.0.0.1"
OpenDNS,"208.67.222.222,208.67.220.220"
Google,"8.8.8.8,8.8.4.4"
Comodo,"8.26.56.26,8.20.247.20"
Quad9,"9.9.9.9,149.112.112.112"
Verisign,"64.6.64.6,64.6.65.6"
UncensoredDNS,"91.239.100.100,89.233.43.71"
DNSWatch,"84.200.69.80,84.200.70.40"
SafeDNS,"195.46.39.39,195.46.39.40"
Freenom World,"80.80.80.80,80.80.81.81"
Yandex,"77.88.8.8,77.88.8.1"
AdGuard,"176.103.130.130,176.103.130.131"
Neustar,"156.154.70.5,156.154.71.5"
French Data Network,"80.67.169.12,80.67.169.40"
FreeDNS,"37.235.1.174,37.235.1.177"
Keweon,"176.9.62.58,176.9.62.62"
Quad101,"101.101.101.101,101.102.103.104"